code,areaName,N/A,none,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,other,noAnswer,population,nrPercPop,rPercPop,cPerc,bperc,hPerc,jPerc,mPerc,sPerc,oPerc
E12000001,North East,0,1058122,1343948,7026,10924,4389,72102,7206,9950,133345,2647013,40.0,55.0,50.8,0.27,0.41,0.17,2.72,0.27,0.38
E12000002,North West,0,2419624,3895779,23028,49749,33285,563105,11862,28103,392862,7417397,32.6,62.1,52.5,0.31,0.67,0.45,7.59,0.16,0.38
E12000003,Yorkshire and The Humber,0,2161185,2461519,15803,29243,9355,442533,24034,23618,313484,5480774,39.4,54.8,44.9,0.29,0.53,0.17,8.07,0.44,0.43
E12000004,East Midlands,0,1950354,2214151,14521,120345,4313,210766,53950,24813,286841,4880054,40.0,54.2,45.4,0.30,2.47,0.09,4.32,1.11,0.51
E12000005,West Midlands,0,1955003,2770559,18804,88116,4394,569963,172398,31805,339714,5950757,32.9,61.4,46.6,0.32,0.15,0.07,9.58,2.89,0.53
E12000006,East of England,0,2544509,2955071,26814,86631,42012,234744,24284,36380,384627,6335074,40.2,53.8,46.6,0.42,1.37,0.67,3.71,0.38,0.57
E12000007,London,0,2380404,3577681,77425,453034,145466,1318754,144543,86759,615662,8799728,27.1,66.0,40.7,0.88,5.15,1.65,15.0,1.64,0.99
E12000008,South East,0,3733094,4313319,54433,154748,18682,309067,74348,54098,566279,9278065,40.2,53.7,46.5,0.59,1.67,0.20,3.33,0.80,0.58
E12000009,South West,0,2513369,2635872,24579,27746,7387,80152,7465,36884,367732,5701186,44.1,49.5,46.2,0.43,0.49,0.13,1.41,0.13,0.65
